Timestamp,Your name,Team,Games,Team,Games
6/12/2021 16:02:33,Stephanie,Montreal Canadiens (4),6,Tampa Bay Lightning (3),5
6/12/2021 16:03:51,Marc,Vegas Golden Knights (2),6,Tampa Bay Lightning (3),6
6/12/2021 16:04:51,Kiersten,Montreal Canadiens (4),4,New York Islanders (4),5
6/12/2021 16:04:57,Nickall,Vegas Golden Knights (2),7,Tampa Bay Lightning (3),6
6/12/2021 16:05:21,Benedict,Vegas Golden Knights (2),4,New York Islanders (4),4
6/12/2021 16:05:51,Jamie,Montreal Canadiens (4),5,Tampa Bay Lightning (3),7
6/12/2021 16:57:06,Derrick,Montreal Canadiens (4),6,New York Islanders (4),6
6/12/2021 17:40:38,Jaclyn,Vegas Golden Knights (2),7,Tampa Bay Lightning (3),6
6/12/2021 17:51:09,Glenda,Montreal Canadiens (4),5,Tampa Bay Lightning (3),5
6/12/2021 18:07:11,Nathan,Vegas Golden Knights (2),5,Tampa Bay Lightning (3),5
6/12/2021 18:25:51,Jake,Montreal Canadiens (4),7,New York Islanders (4),6
6/12/2021 18:25:51,Ryan,Vegas Golden Knights (2),6,New York Islanders (4),7
6/12/2021 18:27:37,Robin,Montreal Canadiens (4),5,New York Islanders (4),4
6/12/2021 18:29:51,Theodore,Vegas Golden Knights (2),4,New York Islanders (4),5
