Timestamp,Your name,Team,Games,Team,Games
9/5/2020 21:12:41,Marc,Dallas Stars,6,New York Islanders,7
9/5/2020 21:24:32,Nathan,Vegas Golden Knights,6,Tampa Bay Lightning,5
9/5/2020 21:35:06,Stephanie,Dallas Stars,6,New York Islanders,5
9/6/2020 9:55:02,Derrick,Vegas Golden Knights,5,Tampa Bay Lightning,5
9/6/2020 9:58:45,Robin,Dallas Stars,4,New York Islanders,4
9/6/2020 10:01:05,Kiersten,Dallas Stars,4,Tampa Bay Lightning,4
9/6/2020 10:02:59,Glenda,Vegas Golden Knights,5,New York Islanders,5
9/6/2020 10:10:29,Jaclyn,Vegas Golden Knights,6,Tampa Bay Lightning,7
9/6/2020 10:49:25,Theodore,Dallas Stars,6,New York Islanders,7
9/6/2020 11:02:24,Benedict,Dallas Stars,5,Tampa Bay Lightning,6
9/6/2020 11:03:33,Jamie,Vegas Golden Knights,4,Tampa Bay Lightning,4
9/6/2020 11:04:19,Nickall,Vegas Golden Knights,6,Tampa Bay Lightning,7
9/6/2020 13:53:04,Jake,Vegas Golden Knights,5,Tampa Bay Lightning,6
9/6/2020 13:53:49,Ryan,Vegas Golden Knights,6,New York Islanders,7
