Timestamp,Your name,Team,Games,Team,Games
3/25/2026 4:30:19,Alice_Perfect,FLA,6,TOR,7
3/25/2026 4:30:26,Bob_TeamOnly,FLA,5,TOR,7
3/25/2026 4:30:31,Charlie_GamesOnly,TBL,6,TOR,7
3/25/2026 4:36:12,Alice_Perfect,FLA,6,TOR,7
3/25/2026 4:36:22,Bob_TeamOnly,FLA,5,TOR,7
3/25/2026 4:36:27,Charlie_GamesOnly,TBL,6,TOR,7
3/25/2026 4:38:31,Alice_Perfect,FLA,6,TOR,7
3/25/2026 4:38:38,Bob_TeamOnly,FLA,5,TOR,7
3/25/2026 4:38:43,Charlie_GamesOnly,TBL,6,TOR,7
3/25/2026 4:39:42,Alice_Perfect,FLA,6,TOR,7
3/25/2026 4:39:49,Bob_TeamOnly,FLA,5,TOR,7
3/25/2026 4:39:54,Charlie_GamesOnly,TBL,6,TOR,7
